destination,key,heroSource,suspicion,httpStatus,width,height,cache,reasons,url
"Miami",miami,none,0,,,,miss,"no-url",""
"Chicago",chicago,none,0,,,,miss,"no-url",""
"Toronto",toronto,none,0,,,,miss,"no-url",""
"Vancouver",vancouver,none,0,,,,miss,"no-url",""
"London, United Kingdom",london|united kingdom,commons-category,0,200,4032,2268,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/87/2020-07-11_%28BV%29_Cooper_with_Belsize_Village_Streatery_organisers.jpg"
"Barcelona, Spain",barcelona|spain,commons-category,0,400,1600,,hit,"","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/11.03.1907_Naixement_de_Pl%C3%A1cido_Domingo_Farr%C3%A9_a_Barcelona.jpg/1600px-11.03.1907_Naixement_de_Pl%C3%A1cido_Domingo_Farr%C3%A9_a_Barcelona.jpg"
"Madrid, Spain",madrid|spain,wikidata-commons,0,200,4608,3456,hit,"","https://upload.wikimedia.org/wikipedia/commons/c/ce/Madrid_%2838624991251%29.jpg"
"Rome, Italy",rome|italy,wikidata-commons,0,429,5982,3988,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/f/f5/Rome_Skyline_%288012016319%29.jpg"
"Milan, Italy",milan|italy,wikidata-commons,0,429,3048,1786,hit,"","https://upload.wikimedia.org/wikipedia/commons/1/10/Milano%2C_Duomo_with_Milan_Cathedral_and_Galleria_Vittorio_Emanuele_II%2C_2016.jpg"
"Venise, Italy",venice|italy,wikipedia,0,429,1920,1440,hit,"","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Collage_Venezia.jpg/1920px-Collage_Venezia.jpg"
"Berlin, Germany",berlin|germany,wikidata-commons,0,429,4496,2300,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/83/Cityscape_Berlin.jpg"
"Amsterdam, Netherlands",amsterdam|netherlands,commons-category,0,429,6801,4490,hit,"","https://upload.wikimedia.org/wikipedia/commons/c/c1/Amsterdam_-_Flickr_-_crash71100.jpg"
"Visby",visby,wikidata-commons,0,429,3072,2304,hit,"","https://upload.wikimedia.org/wikipedia/commons/4/49/Visby_13-.JPG"
"Copenhague",copenhague,wikidata-commons,0,429,4677,2838,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/f/fd/Copenhagen_-_view_from_Christiansborg_castle.jpg"
"Oslo",oslo,wikidata-commons,0,429,4288,2848,hit,"","https://upload.wikimedia.org/wikipedia/commons/9/9a/14-09-02-oslo-RalfR-236.jpg"
"Helsinki",helsinki,wikidata-commons,0,429,2373,1557,hit,"","https://upload.wikimedia.org/wikipedia/commons/9/9b/Helsinki_Lutheran_Cathedral_%28panoraaman%C3%A4k%C3%B6ala%29-2_%28s%C3%A4%C3%A4t%C3%B6%29.jpg"
"Dublin",dublin,commons-category,0,429,3456,2304,hit,"","https://upload.wikimedia.org/wikipedia/commons/0/0e/23rd_Irish_Classic_%26_Vintage_Motor_Show%2C_Terenure%2C_Dublin%2C_2014_07.jpg"
"Berne",bern,commons-category,0,429,6960,4640,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/0/01/A_landscape_of_the_Bern_city_in_Switzerland_with_the_cathedral_visible.jpg"
"Lisbonne, Portugal",lisbon|portugal,none,0,,,,miss,"no-url",""
"Porto, Portugal",porto|portugal,none,0,,,,miss,"no-url",""
"Prague, Czech Republic",prague|czech republic,none,0,,,,miss,"no-url",""
